================================
HittingTime Experiment Summary
T       f(T)    F(T)    |T>=25| p_i(T>=25)
0       0       1       0       0.000
1       0       1       0       0.000
2       0       1       0       0.000
3       0       1       0       0.000
4       0       1       0       0.000
5       0       1       0       0.000
6       0       1       0       0.000
7       0       1       0       0.000
8       0       1       0       0.000
9       0       1       0       0.000
10      12      13      0       0.000
11      56      69      0       0.000
12      153     222     0       0.000
13      280     502     0       0.000
14      365     867     0       0.000
15      466     1333    0       0.000
16      569     1902    0       0.000
17      633     2535    0       0.000
18      711     3246    0       0.000
19      698     3944    0       0.000
20      672     4616    0       0.000
21      653     5269    0       0.000
22      608     5877    0       0.000
23      559     6436    0       0.000
24      496     6932    0       0.000
25      460     7392    460     0.062
26      384     7776    844     0.109
27      320     8096    1164    0.144
28      309     8405    1473    0.175
29      262     8667    1735    0.200
30      209     8876    1944    0.219
31      188     9064    2132    0.235
32      168     9232    2300    0.249
33      120     9352    2420    0.259
34      111     9463    2531    0.267
35      84      9547    2615    0.274
36      86      9633    2701    0.280
37      67      9700    2768    0.285
38      53      9753    2821    0.289
39      33      9786    2854    0.292
40      44      9830    2898    0.295
41      32      9862    2930    0.297
42      23      9885    2953    0.299
43      19      9904    2972    0.300
44      15      9919    2987    0.301
45      7       9926    2994    0.302
46      12      9938    3006    0.302
47      16      9954    3022    0.304
48      12      9966    3034    0.304
49      5       9971    3039    0.305
50      4       9975    3043    0.305
51      3       9978    3046    0.305
52      4       9982    3050    0.306
53      0       9982    3050    0.306
54      5       9987    3055    0.306
55      1       9988    3056    0.306
56      6       9994    3062    0.306
57      2       9996    3064    0.307
58      1       9997    3065    0.307
59      0       9997    3065    0.307
60      0       9997    3065    0.307
61      2       9999    3067    0.307
62      1       10000   3068    0.307
63      0       10000   3068    0.307
64      0       10000   3068    0.307
65      0       10000   3068    0.307
66      0       10000   3068    0.307
67      0       10000   3068    0.307
68      1       10001   3069    0.307
