================================
HittingTime Experiment Summary
T       f(T)    F(T)    |T>=25| p_i(T>=25)
0       0       1       0       0.000
1       0       1       0       0.000
2       0       1       0       0.000
3       0       1       0       0.000
4       0       1       0       0.000
5       0       1       0       0.000
6       0       1       0       0.000
7       0       1       0       0.000
8       0       1       0       0.000
9       0       1       0       0.000
10      2       3       0       0.000
11      13      16      0       0.000
12      34      50      0       0.000
13      40      90      0       0.000
14      73      163     0       0.000
15      95      258     0       0.000
16      109     367     0       0.000
17      120     487     0       0.000
18      150     637     0       0.000
19      135     772     0       0.000
20      135     907     0       0.000
21      132     1039    0       0.000
22      117     1156    0       0.000
23      112     1268    0       0.000
24      111     1379    0       0.000
25      93      1472    93      0.063
26      77      1549    170     0.110
27      84      1633    254     0.156
28      49      1682    303     0.180
29      46      1728    349     0.202
30      49      1777    398     0.224
31      42      1819    440     0.242
32      31      1850    471     0.255
33      26      1876    497     0.265
34      17      1893    514     0.272
35      15      1908    529     0.277
36      15      1923    544     0.283
37      9       1932    553     0.286
38      13      1945    566     0.291
39      5       1950    571     0.293
40      10      1960    581     0.296
41      7       1967    588     0.299
42      8       1975    596     0.302
43      2       1977    598     0.302
44      1       1978    599     0.303
45      6       1984    605     0.305
46      2       1986    607     0.306
47      4       1990    611     0.307
48      1       1991    612     0.307
49      3       1994    615     0.308
50      0       1994    615     0.308
51      2       1996    617     0.309
52      1       1997    618     0.309
53      0       1997    618     0.309
54      0       1997    618     0.309
55      2       1999    620     0.310
56      1       2000    621     0.310
57      0       2000    621     0.310
58      0       2000    621     0.310
59      0       2000    621     0.310
60      0       2000    621     0.310
61      1       2001    622     0.311
